2026-05-03 19:26:24.315 [main] INFO  [NOCORR] [user=anon] c.c.u.UsageSlaServiceApplication - Starting UsageSlaServiceApplication using Java 21.0.2 with PID 24164 (C:\Users\2484896\Downloads\comnet360-backendf\comnet360\services\usage-sla-service\target\classes started by 2484896 in C:\Users\2484896\Downloads\comnet360-backendf)
2026-05-03 19:26:24.317 [main] DEBUG [NOCORR] [user=anon] c.c.u.UsageSlaServiceApplication - Running with Spring Boot v3.2.5, Spring v6.1.6
2026-05-03 19:26:24.318 [main] INFO  [NOCORR] [user=anon] c.c.u.UsageSlaServiceApplication - No active profile set, falling back to 1 default profile: "default"
2026-05-03 19:26:27.327 [main] INFO  [NOCORR] [user=anon] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-05-03 19:26:27.693 [main] INFO  [NOCORR] [user=anon] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 321 ms. Found 3 JPA repository interfaces.
2026-05-03 19:26:28.247 [main] INFO  [NOCORR] [user=anon] o.s.cloud.context.scope.GenericScope - BeanFactory id=27351e38-272c-3c37-bec5-6a53a538a58e
2026-05-03 19:26:29.167 [main] WARN  [NOCORR] [user=anon] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.client.loadbalancer.LoadBalancerAutoConfiguration$DeferringLoadBalancerInterceptorConfig' of type [org.springframework.cloud.client.loadbalancer.LoadBalancerAutoConfiguration$DeferringLoadBalancerInterceptorConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). The currently created BeanPostProcessor [lbRestClientPostProcessor] is declared through a non-static factory method on that class; consider declaring it as static instead.
2026-05-03 19:26:29.176 [main] WARN  [NOCORR] [user=anon] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'deferringLoadBalancerInterceptor' of type [org.springframework.cloud.client.loadbalancer.DeferringLoadBalancerInterceptor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2026-05-03 19:26:29.860 [main] INFO  [NOCORR] [user=anon] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8083 (http)
2026-05-03 19:26:29.876 [main] INFO  [NOCORR] [user=anon] o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-05-03 19:26:29.877 [main] INFO  [NOCORR] [user=anon] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2026-05-03 19:26:30.094 [main] INFO  [NOCORR] [user=anon] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-05-03 19:26:30.095 [main] INFO  [NOCORR] [user=anon] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5662 ms
2026-05-03 19:26:30.810 [main] DEBUG [NOCORR] [user=anon] c.c.u.filter.RequestLoggingFilter - Filter 'requestLoggingFilter' configured for use
2026-05-03 19:26:30.810 [main] DEBUG [NOCORR] [user=anon] c.c.usagesla.filter.JwtAuthFilter - Filter 'jwtAuthFilter' configured for use
2026-05-03 19:26:31.065 [main] INFO  [NOCORR] [user=anon] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-05-03 19:26:31.198 [main] INFO  [NOCORR] [user=anon] org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
